const_id,FirstName,LastName,con_type,mail,Phone,Expertises,con_type_date,payment_company
1,Adi,Cohen,1,AdiCohen@gmail.com,054-736-1187,"9, 5, 2, 3, 11",31/08/2020,Dana eng
2,David,Levi,1,DavidLevi@hotmail.com,052-794-1502,"10, 12, 3, 6, 4",18/01/2021,YTH Eng
3,Maya ,Goldberg,2,MayaGoldberg@hotmail.com,054-429-1112,"10, 11, 9, 6",25/08/2020,IsraEng2020
4,Yael ,Cohen,2,YaelCohen@gmail.com,052-648-1787,"11, 2, 10, 4, 13",25/08/2020,IsraEng2020
5,Eitan ,Ben-Shaul,1,EitanBenShaul@gmail.com,054-279-1368,"14, 6, 10, 1, 5",08/11/2020,Shtang
6,Noam ,Cohen-Schneider,2,NoamCohen@gmail.com,054-303-1356,"2, 4, 11",06/02/2021,Eng Inc
7,Talia ,Rosenbaum,2,TaliaRosenbaum@hotmail.com,054-404-1174,"1, 14, 10, 5, 2",04/08/2020,Eng.com
8,Amit ,Cohen-Tal,1,AmitCohenTal@yahoo.com,052-731-1893,"1, 6, 14, 3, 11",28/09/2020,RobertoEng
9,Roni ,Abramowitz,2,RoniAbramowitz@hotmail.com,052-681-1636,"6, 9, 15, 13, 2",19/07/2020,Shtang
10,Alon ,Levy-Sharoni,1,AlonLevySharoni@yahoo.com,052-396-1324,"14, 5, 15, 2",03/02/2021,Derech
